eventid,iyear,imonth,iday,extended,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,new_target,natlty1_txt,gname,,motive,claimmode_txt,weaptype1_txt,weapsubtype1_txt,,weapdetail,nkill,nwound,nkillter,nwoundte,property,propextent,propextent_txt,propvalue,propcomment
2.01E+11,2014,1,23,0,Banaadir,Mogadishu,2.059818,45.326114,Incident occurred at the International airport,"01/23/2014: Assailants fired artillery shells at Mogadishu Airport in Mogadishu city, Banaadir region, Somalia. An unknown number of shells struck nearby neighborhoods, wounding at least four people. No group claimed responsibility for the incident.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Mogadishu Airport,Airport,Aden Adde International Airport,Somalia,Al-Shabaab,,,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Multiple artillery shells were used in the attack.,0,4,0,0,1,4,Unknown,-99,An airport and the surrounding area were damaged in this attack.
2.01E+11,2014,3,5,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred in Wada Jir neighborhood,"03/05/2014: Assailants fired mortars at the Mogadishu Airport in Wadajir neighborhood, Mogadishu city, Banaadir region, Somalia. The mortars struck nearby residential areas. The outcome of the attack is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Mogadishu Airport,Airport,Aden Adde International Airport,Somalia,Al-Shabaab,,,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Mortars,,,0,0,-9,,,,It is unknown if any property was damaged in this attack.
2.01E+11,2014,3,10,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred at the Mogadishu airport,"03/10/2014: Assailants fired mortars at the airport in Mogadishu city, Banaadir region, Somalia. The outcome of the attack is unknown. Al-Shabaab claimed responsibility for the incident.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Mogadishu Airport,Airport,Aden Adde International Airport,Somalia,Al-Shabaab,,,"Posted to website, blog, etc.",Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Mortars,,,0,0,-9,,,,It is unknown if any property was damaged in this attack.
2.01E+11,2014,3,24,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred in Wada Jir neighborhood,"03/24/2014: Assailants launched mortars, targeting the Mogadishu International Airport, in Mogadishu city, Banaadir region, Somalia. There were an unknown number of casualties in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Mogadishu Airport,Airport,Aden Adde International Airport,Somalia,Al-Shabaab,,,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Mortars,,,0,0,-9,,,,It is unknown if any property was damaged in this attack.
2.01E+11,2014,9,3,0,Banaadir,Mogadishu,2.059818,45.326114,,"09/03/2014: Assailants fired mortars at the Mogadishu airport in Wadajir district, Mogadishu city, Banaadir region, Somalia. This was one of three mortar attacks targeting different locations within Wadajir on the same day. One civilian was killed and three others were injured across the three attacks. No group claimed responsibility for the incidents; however, sources suspected that Al-Shabaab was involved.",1,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Mogadishu Airport,Airport,Aden Adde International Airport,Somalia,Al-Shabaab,,,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Mortars,1,1,0,0,-9,,,,It is unknown if an airport was damaged in this attack.
2.02E+11,2015,12,13,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred at the Aden Adde International Airport.,"12/13/2015: Assailants in boats opened fire on the Aden Adde International Airport in Mogadishu city, Banaadir region, Somalia. This was one of two overnight attacks on the airport. There were no reported casualties in the assaults. No group claimed responsibility for the incidents; however, sources suspected that Al-Shabaab was involved in the attacks.",1,0,0,Armed Assault,Airports & Aircraft,Airport,Aden Adde International Airport,Airport,Aden Adde International Airport,Somalia,Al-Shabaab,,,,Firearms,Unknown Gun Type,Unknown Gun Type,,0,0,0,0,0,,,,
2.02E+11,2015,12,14,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred in the Aden Adde International Airport.,"12/14/2015: Assailants in boats opened fire on the Aden Adde International Airport in Mogadishu city, Banaadir region, Somalia. This was one of two overnight attacks on the airport. There were no reported casualties in the assaults. No group claimed responsibility for the incidents; however, sources suspected that Al-Shabaab was involved in the attacks.",1,0,0,Armed Assault,Airports & Aircraft,Airport,Aden Adde International Airport,Airport,Aden Adde International Airport,Somalia,Al-Shabaab,,,,Firearms,Unknown Gun Type,Unknown Gun Type,,0,0,0,0,0,,,,
2.02E+11,2016,2,11,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred in the Waberi neighborhood.,"02/11/2016: Assailants fired mortars at the African Union Mission in Somalia (AMISOM) Halane military airport in Mogadishu city, Banaadir region, Somalia. The mortars missed the intended target and struck Aden Adde International Airport, but there were no reported casualties. Al-Shabaab claimed responsibility for the incident.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Aden Adde International Airport,Airport,Aden Adde International Airport,Somalia,Al-Shabaab,,,"Posted to website, blog, etc.",Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Mortars,0,0,0,0,0,,,,
2.02E+11,2016,10,8,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred in the Bulo Hubey area.,"10/08/2016: Assailants fired an unknown number of mortars at the airport in Mogadishu, Banaadir, Somalia. At least five civilians were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",0,1,0,Bombing/Explosion,Airports & Aircraft,Airport,Aden Adde International Airport,Airport,Aden Adde International Airport,Somalia,Al-Shabaab,,,,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Mortars,0,5,0,0,1,3,Minor (likely < $1 million),-99,Unspecified property was damaged in this attack.
2.02E+11,2019,7,22,0,Banaadir,Mogadishu,2.059818,45.326114,,"07/22/2019: A suicide bomber detonated an explosives-laden vehicle targeting the Aden Adde International Airport at a checkpoint outside Mogadishu, Banaadir, Somalia. In addition to the assailant, 10 people were killed and 23 others were injured in the blast. Al-Shabaab claimed responsibility for the incident.",0,1,1,Bombing/Explosion,Airports & Aircraft,Airport,Aden Adde International Airport,Airport Checkpoint,Aden Adde International Airport Checkpoint,Somalia,Al-Shabaab,,,Personal claim,Explosives,Suicide Vehicle,Suicide Vehicle,,11,23,1,0,1,3,Minor (likely < $1 million),-99,A hotel was damaged in this attack.
2.02E+11,2015,11,9,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred in the Hawo Tako area in the Wadajir neighborhood.,"11/09/2015: Assailants opened fire on Colonel Abdullahi Moalin in Hawo Tako area, Wadajir district, Mogadishu city, Banaadir region, Somalia. Moalin, a Somali government official for the Mogadishu airport, was killed in the attack. Al-Shabaab claimed responsibility for the attack and stated that Colonel Abdullahi Moalin was targeted for collaborating with foreign security personnel.",0,1,0,Armed Assault,Government (General),Government Personnel,Aden Adde International Airport,Employee: Abdullahi Mo'alin,Aden Adde International Airport Employee: Abdullahi Mo'alin,Somalia,Al-Shabaab,,Al-Shabaab claimed responsibility for the attack and stated that Colonel Abdullahi Mo'alin was targeted for collaborating with foreign security personnel.,"Posted to website, blog, etc.",Firearms,Unknown Gun Type,Unknown Gun Type,,1,0,0,0,0,,,,
2.01E+11,2012,8,4,0,Banaadir,Mogadishu,2.059818,45.326114,,"08/04/2012: Assailants opened fire on Ibrahim Iman Halane near Abati mosque in Hamar-Weyne district, Mogadishu city, Banaadir region, Somalia. Halane, the executive general manager of Mogadishu's Aden Adde International Airport, was killed in the attack. No group claimed responsibility for the incident; however, authorities attributed it to Al-Shabaab.",0,1,0,Armed Assault,Airports & Aircraft,Airport,Mogadishu Airport,Manager: Ibrahim Iman Halane,Aden Adde International Airport Manager: Ibrahim Iman Halane,Somalia,Al-Shabaab,,,,Firearms,Handgun,Handgun,,1,0,0,0,0,,,,
2.02E+11,2016,10,1,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred in the Dabakayo-madow area of Darkheynley neighborhood.,"10/01/2016: Assailants shot and killed Hassan Tohow, an Aden Adde International Airport official, in Mogadishu, Banaadir, Somalia. Al-Shabaab claimed responsibility for the incident.",0,1,0,Armed Assault,Airports & Aircraft,Airline Officer/Personnel,Aden Adde International Airport,Official: Hassan Tohow,Aden Adde International Airport Official: Hassan Tohow,Somalia,Al-Shabaab,,,Personal claim,Firearms,Handgun,Handgun,Pistols were used in the attack.,1,0,0,0,0,,,,
2.02E+11,2015,2,16,0,Banaadir,Mogadishu,2.059818,45.326114,,"02/16/2015: Assailants opened fire on Aden Adde International Airport officials in Mogadishu city, Banaadir region, Somalia. Three officials were killed and two others were wounded in the attack. Al-Shabaab claimed responsibility for the incident.",0,1,0,Armed Assault,Airports & Aircraft,Airline Officer/Personnel,Aden Adde International Airport,"Officials: Abukar Addan, Muhammad Ahmad Harun, Muhammad Kediye Jum'ale",Aden Adde International Airport Officials,Somalia,Al-Shabaab,,,"Posted to website, blog, etc.",Firearms,Unknown Gun Type,Unknown Gun Type,,3,2,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.
2.02E+11,2017,6,20,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred in the Wadajir neighborhood.,"06/20/2017: A suicide bomber detonated an explosives-laden vehicle outside the Wadajir district headquarters in Mogadishu, Somalia. In addition to the assailant, at least ten people were killed and nine people, including district commissioner Omar Abdullahi Hassan, were injured in the blast. Al-Shabaab claimed responsibility for the attack.",0,1,1,Bombing/Explosion,Government (General),Government Building/Facility/Office,Government of Wadajir,Wadajir District Headquarters,Administrator: Mohamed Jim'ale,Somalia,Al-Shabaab,,,"Posted to website, blog, etc.",Explosives,Suicide Vehicle,Suicide Vehicle,An explosives-laden milk delivery van was used in the attack.,11,9,1,0,1,4,Unknown,-99,A government building and several vehicles were damaged in this attack.
2.01E+11,2007,10,25,0,Shabeellaha Hoose,Afgoye district,2.192895,45.119684,"The incident occurred in Afgoya district, Lower Shabelle Region.","10/25/2007: Six Somali bodyguards were wounded when an improvised explosive device (IED) planted by an unknown number of unknown perpetrators detonated adjacent to the vehicle convoy of Afgoye (District) Commissioner Mohamed Omar Mudey in Afgoye (District), Lower Shabelle Region, Somalia.",0,1,0,Bombing/Explosion,Government (General),Government Personnel,Afgoye (District) government,Commissioner Mohamed Omar Mudey,Afgoye District Commissioner,Somalia,Unknown,,Unknown,,Explosives,Unknown Explosive Type,Unknown Explosive Type,,0,6,0,0,-9,,,,The IED detonated adjacent to the target's vehicle.
2.02E+11,2015,11,18,0,Shabeellaha Hoose,Afgoye,2.14383,45.118061,The incident occurred in the Aakhiro neighborhood.,"11/18/2015: Assailants detonated an explosive device at a house of soldiers and government officials in Aakhiro neighborhood, Afgoye town, Lower Shebelle region, Somalia. Two soldiers were killed and three others, including soldiers and civilians, were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",0,1,0,Bombing/Explosion,Government (General),Government Personnel,Government of Afgoye,House of Officials,Afgoye District Officials Residence,Somalia,Al-Shabaab,,,,Explosives,Landmine,Landmine,A landmine planted at a house was used in the attack.,2,3,0,0,1,3,Minor (likely < $1 million),-99,A house was damaged in this attack.
2.01E+11,2014,4,16,0,Shabeellaha Hoose,Afgoye,2.14383,45.118061,The incident occurred in the Hawa Tako neighborhood of the city.,"04/16/2014: Assailants opened fire on Sheikh Ali Dhega-Cadde in front of his residence in Afgoye town, Lower Shebelle region, Somalia. Dhega-Cadde, the spokesperson for Afgoye district, was injured in the attack. No group claimed responsibility for the incident; however, sources suspected that Al-Shabaab was involved.",0,1,0,Armed Assault,Government (General),Government Personnel,Government of Afgoye,District Spokesperson: Sheikh Ali Dhega-Cadde,Afgoye District Spokesperson,Somalia,Al-Shabaab,,,,Firearms,Unknown Gun Type,Unknown Gun Type,,0,1,0,0,0,,,,
2.02E+11,2017,1,16,0,Shabeellaha Hoose,Afgoye,2.14383,45.118061,,"01/16/2017: Assailants attacked Afgoye town in Lower Shebelle, Somalia. A police commander was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",0,1,0,Unknown,Private Citizens & Property,Village/City/Town/Suburb,Afgoye,Town,Afgoye Town,Somalia,Al-Shabaab,,,,Unknown,,0,,1,0,0,0,0,,,,
2.02E+11,2018,2,10,0,Shabeellaha Hoose,Afgoye,2.14383,45.118061,,"02/10/2018: Assailants opened fire on military positions and raided Afgoye, Lower Shebelle, Somalia. In addition to an unknown number of assailant casualties, at least three civilians were injured in the ensuing clash with security forces. Al-Shabaab claimed responsibility for the attack.",0,1,0,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Afgoye Town,Town,Afgoye Town,Somalia,Al-Shabaab,,,Unknown,Firearms,Unknown Gun Type,Unknown Gun Type,,,3,,,0,,,,
2.02E+11,2018,2,12,0,Shabeellaha Hoose,Afgoye,2.14383,45.118061,,"02/12/2018: Assailants attacked Afgoye, Lower Shebelle, Somalia. At least three assailants were killed and four assailants were injured in the ensuing clash with military forces. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",0,0,0,Unknown,Private Citizens & Property,Village/City/Town/Suburb,Afgoye Town,Town,Afgoye Town,Somalia,Al-Shabaab,,"The specific motive is unknown; however, sources stated that the attack was carried out in response to security operations.",,Unknown,,0,,3,4,3,4,-9,,,,
2.02E+11,2019,1,15,0,Shabeellaha Hoose,Afgoye,2.14383,45.118061,,"01/15/2019: Assailants attacked Afgoye, Lower Shebelle, Somalia. At least 12 people, including two soldiers and 10 assailants, were killed and 10 other assailants were injured in the ensuing clash with security forces. Al-Shabaab claimed responsibility for the incident.",0,1,0,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Afgoye Town,Town,Afgoye Town,Somalia,Al-Shabaab,,,Personal claim,Firearms,Unknown Gun Type,Unknown Gun Type,,12,10,10,10,0,,,,
2.01E+11,2008,5,7,0,Baay,Baydhaba,3.115641,43.64658,,"05/07/2008: On Wednesday, a roadside bomb killed a Somali army colonel and seven soldiers in Baidoa, Bay, Somalia. The Mujahidin Youth Movement (MYM) claimed responsibility.",0,1,0,Bombing/Explosion,Military,"Military Personnel (soldiers, troops, officers, forces)",African Army,Army Colonel,African Army Colonel,Asian,Al-Shabaab,,The specific motive for the attack is unknown.,"Posted to website, blog, etc.",Explosives,Other Explosive Type,Other Explosive Type,A roadside bomb was used in the attack.,8,0,0,0,-9,4,Unknown,,It Is unknown if the attack caused any property damage.
2.01E+11,2009,1,1,0,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred near the KM4 and the Bakara Market.,"01/01/2009: On Thursday, an unknown number of al Shabaab insurgents attacked AU peacekeepers using mortars killing at least eight people and wounding at least 10 near the KM4 and Bakara market.",0,1,0,Bombing/Explosion,Private Citizens & Property,Race/Ethnicity Identified,,African Union peacekeepers,African Union peacekeepers,Somalia,Al-Shabaab,,The specific motive for the attack is unknown.,Personal claim,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","Projectile (rockets, mortars, RPGs, etc.)",Unknown firearms were used in the attack.,8,10,0,0,-9,4,Unknown,,It is unknown if the attack caused any property damage.
2.00E+11,1995,11,8,1,Shabeellaha Hoose,Merca,1.716188,44.768864,,,0,1,0,Hostage Taking (Kidnapping),NGO,International NGO,UNK,Agricultural Aid Agency CFFA,Aid Agency CFFA,Italy,Unknown,,,,Unknown,,0,,0,0,,,0,,,,
2.00E+11,1995,12,18,1,Banaadir,Mogadishu,2.059819,45.326115,,,0,1,0,Hostage Taking (Kidnapping),NGO,International NGO,,Aid Agency CFFA,Aid Agency CFFA,Italy,Unknown,,,,Unknown,,0,,0,0,,,0,,,,
2.00E+11,1996,9,19,1,Banaadir,Mogadishu,2.059819,45.326115,,,0,1,0,Hostage Taking (Kidnapping),NGO,International NGO,,Aid agency representative (Life and Peace Institute),Aid agency representative (Life and Peace Institute),Somalia,Unknown,,,,Unknown,,0,,0,0,,,0,,,,
1.99E+11,1994,12,5,0,Woqooyi Galbeed,Berbera,10.43959,45.01432,,,0,1,0,Hijacking,Airports & Aircraft,Aircraft (not at an airport),,Airplane-Air Djibouti,Airplane-Air Djibouti,Somalia,Unknown,,,,Unknown,,0,,0,0,,,0,,,,
2.02E+11,2016,7,26,0,Banaadir,Mogadishu,2.059818,45.326114,The incident occurred in the Bakara area of Hawl Wadag neighborhood.,"07/26/2016: Security forces discovered and defused an explosives-laden vehicle at Al-Imran Hotel in Mogadishu, Banaadir, Somalia. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",0,0,0,Bombing/Explosion,Business,Hotel/Resort,Al-Imran Hotel,Hotel,Al Imran Hotel,Somalia,Al-Shabaab,,,,Explosives,Suicide Vehicle,Suicide Vehicle,,0,0,0,0,0,,,,
2.01E+11,2010,5,1,0,Banaadir,Mogadishu,2.059819,45.326115,The incident occurred in Howlwadag district in Mogadishu.,"05/01/2010: On Saturday afternoon around 1245, in Mogadishu, Banaadir, Somalia, unknown assailants detonated an improvised explosive device (IED) targeting a senior Al-Shabaab commander, Fuad Muhammad Khalaf, at the Abdala Shideye mosque in the Bakara market; while people rushed to help the wounded another IED detonated. The casualties were listed cumulatively as 19 people killed and 31 others injured, including Khalaf. The mosque was damaged in the attack and no group claimed responsibility for the attack.",0,1,0,Bombing/Explosion,Terrorists/Non-State Militia,Terrorist,Al-Shabaab,"An Al-Shabaab commander, Fuad Muhammad Khalaf, was targeted in the attack.",Al Shabaab Commander: Fuad Muhammad Khalaf,Somalia,Unknown,,The specific motive for the attack is unknown.,,Explosives,Other Explosive Type,Other Explosive Type,Two improvised explosive devices were used in the attack.,19,31,0,0,1,3,Minor (likely < $1 million),,The mosque was damaged in the attack.
